"item_class";"name";"tags";"armour";"movement speed";"energy shield";"evasion rating";"chance to block";"attacks per second";"critical strike chance";"physical damage min";"physical damage";"weapon range";"dexterity";"intelligence";"strength";"level";"item_class_req";"item_tags_combination"
"amulet";"Agate Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Amber Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Ashscale Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Avian Twins Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Black Maw Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Blue Pearl Amulet";"not_for_sale,atlas_base_type,amuletatlas1,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"27"
"amulet";"Bonespire Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Breakrib Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Chrysalis Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Citrine Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Clutching Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Coral Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Deadhand Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Deep One Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Fangjaw Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Gold Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Greatwolf Talisman";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Hexclaw Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Horned Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Jade Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Jet Amulet";"not_for_sale,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26"
"amulet";"Lapis Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Lone Antler Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Longtooth Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Mandible Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Marble Amulet";"not_for_sale,atlas_base_type,amuletatlas2,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"28"
"amulet";"Monkey Paw Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Monkey Twins Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Onyx Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Paua Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Primal Skull Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Rot Head Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Rotfeather Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Ruby Amulet";"not_for_sale,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26"
"amulet";"Spinefuse Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Splitnewt Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Three Hands Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Three Rat Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Turquoise Amulet";"amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1"
"amulet";"Undying Flesh Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Wereclaw Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"amulet";"Writhing Talisman";"talisman,amulet,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91"
"belt";"Chain Belt";"belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4"
"belt";"Cloth Belt";"belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4"
