"Name";"Description";"Domain";"Generation_type";"Group";"Tags";"Tags_without_influence";"Influences";"Hybrid";"IsEssenceOnly";"Required_level";"Type";"Stat_ID";"Sign";"Min1";"Max1";"Min2";"Max2";"String";"Format_String";"Tier"
"AbyssAvoidFreezeAndChillJewel1";"of Warming";"abyss_jewel";"suffix";"ChanceToAvoidFreezeAndChill";"default";"default";"";"H1";"False";"1";"ChanceToAvoidFreezeAndChill";"base_avoid_chill_%";"positive";"6";"8";"";"";"{0}% chance to Avoid being Chilled";"(6 - 8)% chance to Avoid being Chilled";"2"
"AbyssAvoidFreezeAndChillJewel1";"of Warming";"abyss_jewel";"suffix";"ChanceToAvoidFreezeAndChill";"default";"default";"";"H1";"False";"1";"ChanceToAvoidFreezeAndChill";"base_avoid_freeze_%";"positive";"6";"8";"";"";"{0}% chance to Avoid being Frozen";"(6 - 8)% chance to Avoid being Frozen";"2"
"AbyssAvoidFreezeAndChillJewel2";"of Warming";"abyss_jewel";"suffix";"ChanceToAvoidFreezeAndChill";"default";"default";"";"H2";"False";"30";"ChanceToAvoidFreezeAndChill";"base_avoid_chill_%";"positive";"9";"10";"";"";"{0}% chance to Avoid being Chilled";"(9 - 10)% chance to Avoid being Chilled";"1"
"AbyssAvoidFreezeAndChillJewel2";"of Warming";"abyss_jewel";"suffix";"ChanceToAvoidFreezeAndChill";"default";"default";"";"H2";"False";"30";"ChanceToAvoidFreezeAndChill";"base_avoid_freeze_%";"positive";"9";"10";"";"";"{0}% chance to Avoid being Frozen";"(9 - 10)% chance to Avoid being Frozen";"1"
"AbyssMinionAttackAndCastSpeedJewel1";"of Training";"abyss_jewel";"suffix";"MinionAttackSpeedAndCastSpeed";"abyss_jewel_summoner";"abyss_jewel_summoner";"";"H3";"False";"1";"MinionAttackAndCastSpeed";"minion_attack_speed_+%";"positive";"4";"6";"";"";"Minions have {0}% increased Attack Speed";"Minions have (4 - 6)% increased Attack Speed";"1"
"AbyssMinionAttackAndCastSpeedJewel1";"of Training";"abyss_jewel";"suffix";"MinionAttackSpeedAndCastSpeed";"abyss_jewel_summoner";"abyss_jewel_summoner";"";"H3";"False";"1";"MinionAttackAndCastSpeed";"minion_cast_speed_+%";"positive";"4";"6";"";"";"Minions have {0}% increased Cast Speed";"Minions have (4 - 6)% increased Cast Speed";"1"
"AccuracyAndCritsJewel";"of Deadliness";"misc";"suffix";"AccuracyAndCrits";"default";"default";"";"H4";"False";"1";"AccuracyAndCritsForJewel";"accuracy_rating_+%";"positive";"6";"10";"";"";"{0}% increased Global Accuracy Rating";"(6 - 10)% increased Global Accuracy Rating";"1"
"AccuracyAndCritsJewel";"of Deadliness";"misc";"suffix";"AccuracyAndCrits";"default";"default";"";"H4";"False";"1";"AccuracyAndCritsForJewel";"critical_strike_chance_+%";"positive";"6";"10";"";"";"{0}% increased Global Critical Strike Chance";"(6 - 10)% increased Global Critical Strike Chance";"1"
"AccuracyRatingPerFrenzyChargeUber1";"of Shaping";"item";"suffix";"AccuracyRatingPerFrenzyCharge";"sword_shaper";"sword";"shaper";"H5";"False";"68";"AccuracyRatingPerFrenzyChargeUber";"accuracy_rating_+%_per_frenzy_charge";"positive";"5";"5";"";"";"{0}% increased Accuracy Rating per Frenzy Charge";"5% increased Accuracy Rating per Frenzy Charge";"1"
"AccuracyRatingPerFrenzyChargeUber1";"of Shaping";"item";"suffix";"AccuracyRatingPerFrenzyCharge";"sword_shaper";"sword";"shaper";"H5";"False";"68";"AccuracyRatingPerFrenzyChargeUber";"chance_to_gain_frenzy_charge_on_block_%";"positive";"20";"25";"";"";"{0}% chance to gain a Frenzy Charge when you Block";"(20 - 25)% chance to gain a Frenzy Charge when you Block";"1"
